home, homescore, awayscore, away, date, group
Bayer Leverkusen, 1, 2, Real Madrid, Wednesday, May 15, 2002, Final
Real Madrid, 1, 1, Barcelona, Wednesday, May 1, 2002, Semi-finals
Bayer Leverkusen, 1, 1, Manchester United, Tuesday, April 30, 2002, Semi-finals
Manchester United, 2, 2, Bayer Leverkusen, Wednesday, April 24, 2002, Semi-finals
Barcelona, 0, 2, Real Madrid, Tuesday, April 23, 2002, Semi-finals
Manchester United, 3, 2, Deportivo La CoruÃ±a, Wednesday, April 10, 2002, Quarter-finals
Real Madrid, 2, 0, Bayern Munich, Wednesday, April 10, 2002, Quarter-finals
Barcelona, 3, 1, Panathinaikos, Tuesday, April 9, 2002, Quarter-finals
Bayer Leverkusen, 4, 2, Liverpool, Tuesday, April 9, 2002, Quarter-finals
Liverpool, 1, 0, Bayer Leverkusen, Wednesday, April 3, 2002, Quarter-finals
Panathinaikos, 1, 0, Barcelona, Wednesday, April 3, 2002, Quarter-finals
Bayern Munich, 2, 1, Real Madrid, Tuesday, April 2, 2002, Quarter-finals
Deportivo La CoruÃ±a, 0, 2, Manchester United, Tuesday, April 2, 2002, Quarter-finals
Panathinaikos, 2, 2, Real Madrid, Wednesday, March 20, 2002, Group C
Sparta Prague, 2, 0, FC Porto, Wednesday, March 20, 2002, Group C
Deportivo La CoruÃ±a, 1, 3, Bayer Leverkusen, Wednesday, March 20, 2002, Group D
Juventus, 1, 0, Arsenal, Wednesday, March 20, 2002, Group D
Bayern Munich, 2, 1, Nantes, Tuesday, March 19, 2002, Group A
Boavista, 0, 3, Manchester United, Tuesday, March 19, 2002, Group A
Galatasaray, 0, 1, Barcelona, Tuesday, March 19, 2002, Group B
Liverpool, 2, 0, AS Roma, Tuesday, March 19, 2002, Group B
Manchester United, 0, 0, Bayern Munich, Wednesday, March 13, 2002, Group A
Nantes, 1, 1, Boavista, Wednesday, March 13, 2002, Group A
AS Roma, 1, 1, Galatasaray, Wednesday, March 13, 2002, Group B
Barcelona, 0, 0, Liverpool, Wednesday, March 13, 2002, Group B
FC Porto, 2, 1, Panathinaikos, Tuesday, March 12, 2002, Group C
Real Madrid, 3, 0, Sparta Prague, Tuesday, March 12, 2002, Group C
Arsenal, 0, 2, Deportivo La CoruÃ±a, Tuesday, March 12, 2002, Group D
Bayer Leverkusen, 3, 1, Juventus, Tuesday, March 12, 2002, Group D
FC Porto, 1, 2, Real Madrid, Wednesday, February 27, 2002, Group C
Panathinaikos, 2, 1, Sparta Prague, Wednesday, February 27, 2002, Group C
Arsenal, 4, 1, Bayer Leverkusen, Wednesday, February 27, 2002, Group D
Deportivo La CoruÃ±a, 2, 0, Juventus, Wednesday, February 27, 2002, Group D
Bayern Munich, 1, 0, Boavista, Tuesday, February 26, 2002, Group A
Manchester United, 5, 1, Nantes, Tuesday, February 26, 2002, Group A
AS Roma, 3, 0, Barcelona, Tuesday, February 26, 2002, Group B
Galatasaray, 1, 1, Liverpool, Tuesday, February 26, 2002, Group B
Boavista, 0, 0, Bayern Munich, Wednesday, February 20, 2002, Group A
Nantes, 1, 1, Manchester United, Wednesday, February 20, 2002, Group A
Barcelona, 1, 1, AS Roma, Wednesday, February 20, 2002, Group B
Liverpool, 0, 0, Galatasaray, Wednesday, February 20, 2002, Group B
Real Madrid, 1, 0, FC Porto, Tuesday, February 19, 2002, Group C
Sparta Prague, 0, 2, Panathinaikos, Tuesday, February 19, 2002, Group C
Bayer Leverkusen, 1, 1, Arsenal, Tuesday, February 19, 2002, Group D
Juventus, 0, 0, Deportivo La CoruÃ±a, Tuesday, February 19, 2002, Group D
Manchester United, 3, 0, Boavista, Wednesday, December 5, 2001, Group A
Nantes, 0, 1, Bayern Munich, Wednesday, December 5, 2001, Group A
AS Roma, 0, 0, Liverpool, Wednesday, December 5, 2001, Group B
Barcelona, 2, 2, Galatasaray, Wednesday, December 5, 2001, Group B
FC Porto, 0, 1, Sparta Prague, Tuesday, December 4, 2001, Group C
Real Madrid, 3, 0, Panathinaikos, Tuesday, December 4, 2001, Group C
Arsenal, 3, 1, Juventus, Tuesday, December 4, 2001, Group D
Bayer Leverkusen, 3, 0, Deportivo La CoruÃ±a, Tuesday, December 4, 2001, Group D
Juventus, 4, 0, Bayer Leverkusen, Thursday, November 29, 2001, Group D
Panathinaikos, 0, 0, FC Porto, Wednesday, November 21, 2001, Group C
Sparta Prague, 2, 3, Real Madrid, Wednesday, November 21, 2001, Group C
Deportivo La CoruÃ±a, 2, 0, Arsenal, Wednesday, November 21, 2001, Group D
Juventus, P ,  P, Bayer Leverkusen, Wednesday, November 21, 2001, Group D
Bayern Munich, 1, 1, Manchester United, Tuesday, November 20, 2001, Group A
Boavista, 1, 0, Nantes, Tuesday, November 20, 2001, Group A
Galatasaray, 1, 1, AS Roma, Tuesday, November 20, 2001, Group B
Liverpool, 1, 3, Barcelona, Tuesday, November 20, 2001, Group B
Celtic, 4, 3, Juventus, Wednesday, October 31, 2001, Group E
FC Porto, 1, 0, Rosenborg, Wednesday, October 31, 2001, Group E
Barcelona, 1, 0, Fenerbahce, Wednesday, October 31, 2001, Group F
Bayer Leverkusen, 2, 4, Lyon, Wednesday, October 31, 2001, Group F
Lille, 1, 1, Manchester United, Wednesday, October 31, 2001, Group G
Olympiakos, 1, 1, Deportivo La CoruÃ±a, Wednesday, October 31, 2001, Group G
Feyenoord Rotterdam, 2, 1, Spartak Moscow, Wednesday, October 31, 2001, Group H
Sparta Prague, 0, 1, Bayern Munich, Wednesday, October 31, 2001, Group H
AS Roma, 1, 1, Anderlecht, Tuesday, October 30, 2001, Group A
Lokomotiv Moscow, 2, 0, Real Madrid, Tuesday, October 30, 2001, Group A
Dynamo Kiev, 1, 0, Boavista, Tuesday, October 30, 2001, Group B
Liverpool, 2, 0, Borussia Dortmund, Tuesday, October 30, 2001, Group B
Mallorca, 1, 0, Panathinaikos, Tuesday, October 30, 2001, Group C
Schalke 04, 3, 1, Arsenal, Tuesday, October 30, 2001, Group C
Galatasaray, 2, 0, PSV Eindhoven, Tuesday, October 30, 2001, Group D
Nantes, 1, 0, Lazio, Tuesday, October 30, 2001, Group D
Anderlecht, 1, 5, Lokomotiv Moscow, Wednesday, October 24, 2001, Group A
Real Madrid, 1, 1, AS Roma, Wednesday, October 24, 2001, Group A
