home, homescore, awayscore, away, date, group
AC Milan, 2, 1, Liverpool, Wednesday, May 23, 2007, Final
AC Milan, 3, 0, Manchester United, Wednesday, May 2, 2007, Semi-finals
Liverpool, 1, 0, Chelsea, Tuesday, May 1, 2007, Semi-finals
Chelsea, 1, 0, Liverpool, Wednesday, April 25, 2007, Semi-finals
Manchester United, 3, 2, AC Milan, Tuesday, April 24, 2007, Semi-finals
Bayern Munich, 0, 2, AC Milan, Wednesday, April 11, 2007, Quarter-finals
Liverpool, 1, 0, PSV Eindhoven, Wednesday, April 11, 2007, Quarter-finals
Manchester United, 7, 1, AS Roma, Tuesday, April 10, 2007, Quarter-finals
Valencia, 1, 2, Chelsea, Tuesday, April 10, 2007, Quarter-finals
AS Roma, 2, 1, Manchester United, Wednesday, April 4, 2007, Quarter-finals
Chelsea, 1, 1, Valencia, Wednesday, April 4, 2007, Quarter-finals
AC Milan, 2, 2, Bayern Munich, Tuesday, April 3, 2007, Quarter-finals
PSV Eindhoven, 0, 3, Liverpool, Tuesday, April 3, 2007, Quarter-finals
AC Milan, 1, 0, Celtic, Wednesday, March 7, 2007, Round of 16
Arsenal, 1, 1, PSV Eindhoven, Wednesday, March 7, 2007, Round of 16
Bayern Munich, 2, 1, Real Madrid, Wednesday, March 7, 2007, Round of 16
Manchester United, 1, 0, Lille, Wednesday, March 7, 2007, Round of 16
Chelsea, 2, 1, FC Porto, Tuesday, March 6, 2007, Round of 16
Liverpool, 0, 1, Barcelona, Tuesday, March 6, 2007, Round of 16
Lyon, 0, 2, AS Roma, Tuesday, March 6, 2007, Round of 16
Valencia, 0, 0, Internazionale, Tuesday, March 6, 2007, Round of 16
AS Roma, 0, 0, Lyon, Wednesday, February 21, 2007, Round of 16
Barcelona, 1, 2, Liverpool, Wednesday, February 21, 2007, Round of 16
FC Porto, 1, 1, Chelsea, Wednesday, February 21, 2007, Round of 16
Internazionale, 2, 2, Valencia, Wednesday, February 21, 2007, Round of 16
Celtic, 0, 0, AC Milan, Tuesday, February 20, 2007, Round of 16
Lille, 0, 1, Manchester United, Tuesday, February 20, 2007, Round of 16
PSV Eindhoven, 1, 0, Arsenal, Tuesday, February 20, 2007, Round of 16
Real Madrid, 3, 2, Bayern Munich, Tuesday, February 20, 2007, Round of 16
AC Milan, 0, 2, Lille, Wednesday, December 6, 2006, Group A
Anderlecht, 2, 2, AEK Athens, Wednesday, December 6, 2006, Group A
Dynamo Kiev, 2, 2, Real Madrid, Wednesday, December 6, 2006, Group A
FC Copenhagen, 3, 1, Celtic, Wednesday, December 6, 2006, Group A
FC Porto, 0, 0, Arsenal, Wednesday, December 6, 2006, Group A
Hamburg SV, 3, 2, CSKA Moscow, Wednesday, December 6, 2006, Group A
Lyon, 1, 1, Steaua Bucuresti, Wednesday, December 6, 2006, Group A
Manchester United, 3, 1, Benfica, Wednesday, December 6, 2006, Group A
AS Roma, 1, 0, Valencia, Tuesday, December 5, 2006, Group A
Barcelona, 2, 0, Werder Bremen, Tuesday, December 5, 2006, Group A
Bayern Munich, 1, 1, Internazionale, Tuesday, December 5, 2006, Group A
Chelsea, 2, 0, Levski Sofia, Tuesday, December 5, 2006, Group A
Galatasaray, 3, 2, Liverpool, Tuesday, December 5, 2006, Group A
Olympiakos, 1, 1, Shakhtar Donetsk, Tuesday, December 5, 2006, Group A
PSV Eindhoven, 1, 3, Bordeaux, Tuesday, December 5, 2006, Group A
Sporting Lisbon, 1, 3, Spartak Moscow, Tuesday, December 5, 2006, Group A
Spartak Moscow, 2, 2, Bayern Munich, Wednesday, November 22, 2006, Group A
Bordeaux, 3, 1, Galatasaray, Wednesday, November 22, 2006, Group A
Internazionale, 1, 0, Sporting Lisbon, Wednesday, November 22, 2006, Group A
Levski Sofia, 0, 2, Barcelona, Wednesday, November 22, 2006, Group A
Liverpool, 2, 0, PSV Eindhoven, Wednesday, November 22, 2006, Group A
Shakhtar Donetsk, 1, 0, AS Roma, Wednesday, November 22, 2006, Group A
Valencia, 2, 0, Olympiakos, Wednesday, November 22, 2006, Group A
Werder Bremen, 1, 0, Chelsea, Wednesday, November 22, 2006, Group A
CSKA Moscow, 0, 2, FC Porto, Tuesday, November 21, 2006, Group A
AEK Athens, 1, 0, AC Milan, Tuesday, November 21, 2006, Group A
Arsenal, 3, 1, Hamburg SV, Tuesday, November 21, 2006, Group A
Benfica, 3, 1, FC Copenhagen, Tuesday, November 21, 2006, Group A
Celtic, 1, 0, Manchester United, Tuesday, November 21, 2006, Group A
Lille, 2, 2, Anderlecht, Tuesday, November 21, 2006, Group A
Real Madrid, 2, 2, Lyon, Tuesday, November 21, 2006, Group A
Steaua Bucuresti, 1, 1, Dynamo Kiev, Tuesday, November 21, 2006, Group A
AC Milan, 4, 1, Anderlecht, Wednesday, November 1, 2006, Group A
AEK Athens, 1, 0, Lille, Wednesday, November 1, 2006, Group A
Arsenal, 0, 0, CSKA Moscow, Wednesday, November 1, 2006, Group A
Benfica, 3, 0, Celtic, Wednesday, November 1, 2006, Group A
FC Copenhagen, 1, 0, Manchester United, Wednesday, November 1, 2006, Group A
Hamburg SV, 1, 3, FC Porto, Wednesday, November 1, 2006, Group A
Lyon, 1, 0, Dynamo Kiev, Wednesday, November 1, 2006, Group A
Real Madrid, 1, 0, Steaua Bucuresti, Wednesday, November 1, 2006, Group A
Spartak Moscow, 0, 1, Internazionale, Tuesday, October 31, 2006, Group A
AS Roma, 1, 1, Olympiakos, Tuesday, October 31, 2006, Group A
Barcelona, 2, 2, Chelsea, Tuesday, October 31, 2006, Group A
Bayern Munich, 0, 0, Sporting Lisbon, Tuesday, October 31, 2006, Group A
Levski Sofia, 0, 3, Werder Bremen, Tuesday, October 31, 2006, Group A
Liverpool, 3, 0, Bordeaux, Tuesday, October 31, 2006, Group A
PSV Eindhoven, 2, 0, Galatasaray, Tuesday, October 31, 2006, Group A
Shakhtar Donetsk, 2, 2, Valencia, Tuesday, October 31, 2006, Group A
Bordeaux, 0, 1, Liverpool, Wednesday, October 18, 2006, Group A
Chelsea, 1, 0, Barcelona, Wednesday, October 18, 2006, Group A
Galatasaray, 1, 2, PSV Eindhoven, Wednesday, October 18, 2006, Group A
Internazionale, 2, 1, Spartak Moscow, Wednesday, October 18, 2006, Group A
Olympiakos, 0, 1, AS Roma, Wednesday, October 18, 2006, Group A
Sporting Lisbon, 0, 1, Bayern Munich, Wednesday, October 18, 2006, Group A
Valencia, 2, 0, Shakhtar Donetsk, Wednesday, October 18, 2006, Group A
Werder Bremen, 2, 0, Levski Sofia, Wednesday, October 18, 2006, Group A
CSKA Moscow, 1, 0, Arsenal, Tuesday, October 17, 2006, Group A
Anderlecht, 0, 1, AC Milan, Tuesday, October 17, 2006, Group A
Celtic, 3, 0, Benfica, Tuesday, October 17, 2006, Group A
Dynamo Kiev, 0, 3, Lyon, Tuesday, October 17, 2006, Group A
FC Porto, 4, 1, Hamburg SV, Tuesday, October 17, 2006, Group A
