home, homescore, awayscore, away, date, group
Racing Santander, 2, 1, Real Zaragoza, "Sunday, April 1, 2001", " "
Mallorca, 1, 1, Real Sociedad, "Sunday, April 1, 2001", " "
Real Oviedo, 3, 3, Alavés, "Sunday, April 1, 2001", " "
Real Valladolid, 1, 3, Rayo Vallecano, "Sunday, April 1, 2001", " "
Barcelona, 4, 1, Las Palmas, "Sunday, April 1, 2001", " "
Athletic Bilbao, 0, 1, Osasuna, "Sunday, April 1, 2001", " "
Real Madrid, 1, 0, Numancia, "Saturday, March 31, 2001", " "
Deportivo La Coruña, 4, 2, Villarreal, "Saturday, March 31, 2001", " "
Malaga, 1, 4, Celta Vigo, "Saturday, March 31, 2001", " "
Valencia, 0, 1, Espanyol, "Saturday, March 31, 2001", " "
Celta Vigo, 3, 2, Valencia, "Sunday, March 18, 2001", "Balaidos Stadium "
Espanyol, 1, 0, Real Valladolid, "Sunday, March 18, 2001", "Montjuic Stadium "
Italy, 0, 0, Spain, "Sunday, March 18, 2001", " "
Italy, 0, 0, Spain, "Sunday, March 18, 2001", " "
Mallorca, 1, 0, Real Madrid, "Sunday, March 18, 2001", "Luis Sitjar Stadium "
Numancia, 1, 1, Barcelona, "Sunday, March 18, 2001", " "
Osasuna, 3, 3, Malaga, "Sunday, March 18, 2001", " "
Rayo Vallecano, 0, 2, Real Oviedo, "Sunday, March 18, 2001", "Nuevo Vallecas Stadium "
Real Sociedad, 1, 1, Alavés, "Sunday, March 18, 2001", "Anoeta Stadium "
Real Zaragoza, 2, 2, Athletic Bilbao, "Sunday, March 18, 2001", "La Romareda Stadium "
Villarreal, 4, 2, Racing Santander, "Sunday, March 18, 2001", "El Madrigal "
Las Palmas, 2, 0, Deportivo La Coruña, "Saturday, March 17, 2001", "Estadio Insular "
Alavés, 4, 2, Rayo Vallecano, "Sunday, March 11, 2001", "Mendizorroza Stadium "
Barcelona, 1, 1, Mallorca, "Sunday, March 11, 2001", "Nou Camp Stadium "
Malaga, 2, 0, Real Zaragoza, "Sunday, March 11, 2001", "La Rosaleda "
Racing Santander, 2, 1, Las Palmas, "Sunday, March 11, 2001", " "
