home, homescore, awayscore, away, date, group
Arles, 1, 3, Sochaux, "Sunday, May 29, 2011", "Stade Fernand-Fournier (4,880)"
AS Monaco, 0, 2, Lyon, "Sunday, May 29, 2011", "Stade Louis II (11,140)"
AS Nancy Lorraine, 4, 0, Lens, "Sunday, May 29, 2011", "Stade Marcel Picot (19,026)"
Bordeaux, 2, 0, Montpellier, "Sunday, May 29, 2011", "Stade Jacques Chaban-Delmas (21,045)"
Brest, 0, 2, Toulouse, "Sunday, May 29, 2011", "Stade Francis-le Blé (14,000)"
Caen, 2, 2, Marseille, "Sunday, May 29, 2011", "Stade Michel-d'Ornano (20,540)"
Lille, 3, 2, Stade Rennes, "Sunday, May 29, 2011", "Stadium Lille Métropole (17,111)"
Lorient, 1, 2, AJ Auxerre, "Sunday, May 29, 2011", "Stade du Moustoir (15,750)"
St Etienne, 1, 1, Paris Saint-Germain , "Sunday, May 29, 2011", "Stade Geoffroy-Guichard (25,874)"
Valenciennes, 2, 1, Nice, "Sunday, May 29, 2011", "Stade Nungesser (15,000)"
AJ Auxerre, 0, 1, Brest, "Saturday, May 21, 2011", "Stade Abbé-Deschamps (11,922)"
Lens, 0, 1, Arles, "Saturday, May 21, 2011", "Stade Felix-Bollaert (28,705)"
Lyon, 0, 0, Caen, "Saturday, May 21, 2011", "Stade de Gerland (37,064)"
Marseille, 2, 2, Valenciennes, "Saturday, May 21, 2011", "Stade Vélodrome (52,100)"
Montpellier, 0, 1, AS Monaco, "Saturday, May 21, 2011", "Stade de la Mosson (18,000)"
Nice, 2, 0, Lorient, "Saturday, May 21, 2011", "Stade du Ray (10,000)"
Paris Saint-Germain , 2, 2, Lille, "Saturday, May 21, 2011", "Parc des Princes (45,000)"
Sochaux, 2, 1, St Etienne, "Saturday, May 21, 2011", "Stade Bonal (19,800)"
Stade Rennes, 0, 2, AS Nancy Lorraine, "Saturday, May 21, 2011", "Stade de la Route-de-Lorient (24,250)"
Toulouse, 2, 0, Bordeaux, "Saturday, May 21, 2011", "Stadium Municipal (18,430)"
Bordeaux, 1, 0, Paris Saint-Germain , "Wednesday, May 18, 2011", "Stade Jacques Chaban-Delmas (25,648)"
Lille, 1, 0, Sochaux, "Wednesday, May 18, 2011", "Stadium Lille Métropole (16,813)"
Brest, 1, 1, Lyon, "Monday, May 16, 2011", "Stade Francis-le Blé (14,000)"
Arles, 1, 0, Toulouse, "Sunday, May 15, 2011", "Stade Fernand-Fournier (13,000)"
AS Monaco, 1, 1, Lens, "Sunday, May 15, 2011", "Stade Louis II (6,444)"
AS Nancy Lorraine, 3, 0, Nice, "Sunday, May 15, 2011", "Stade Marcel Picot (17,000)"
Caen, 2, 0, Montpellier, "Sunday, May 15, 2011", "Stade Michel-d'Ornano (15,737)"
St Etienne, 1, 2, Stade Rennes, "Sunday, May 15, 2011", "Stade Geoffroy-Guichard (22,181)"
Valenciennes, 1, 1, AJ Auxerre, "Sunday, May 15, 2011", "Stade Nungesser (12,079)"
Lorient, 2, 2, Marseille, "Sunday, May 15, 2011", "Stade du Moustoir (16,950)"
AJ Auxerre, 4, 0, Lyon, "Wednesday, May 11, 2011", "Stade Abbé-Deschamps (12,007)"
Lens, 1, 0, Bordeaux, "Wednesday, May 11, 2011", "Stade Felix-Bollaert (28,209)"
Montpellier, 3, 1, Lorient, "Wednesday, May 11, 2011", "Stade de la Mosson (9,000)"
Nice, 3, 2, Arles, "Wednesday, May 11, 2011", "Stade du Ray (7,526)"
Sochaux, 3, 0, AS Monaco, "Wednesday, May 11, 2011", "Stade Bonal (14,525)"
Stade Rennes, 1, 1, Caen, "Wednesday, May 11, 2011", "Stade de la Route-de-Lorient (21,000)"
Toulouse, 0, 0, Valenciennes, "Wednesday, May 11, 2011", "Stadium Municipal (17,475)"
Marseille, 3, 0, Brest, "Wednesday, May 11, 2011", "Stade Vélodrome (46,313)"
Paris Saint-Germain , 2, 2, AS Nancy Lorraine, "Tuesday, May 10, 2011", "Parc des Princes (32,000)"
St Etienne, 1, 2, Lille, "Tuesday, May 10, 2011", "Stade Geoffroy-Guichard (22,176)"
Valenciennes, 2, 0, Stade Rennes, "Sunday, May 8, 2011", "Stade Nungesser (11,429)"
Lyon, 3, 2, Marseille, "Sunday, May 8, 2011", "Stade de Gerland (45,000)"
AJ Auxerre, 1, 0, Montpellier, "Saturday, May 7, 2011", "Stade Abbé-Deschamps (13,004)"
Arles, 0, 1, St Etienne, "Saturday, May 7, 2011", "Stade Fernand-Fournier (10,461)"
AS Monaco, 1, 1, Paris Saint-Germain , "Saturday, May 7, 2011", "Stade Louis II (9,943)"
Bordeaux, 0, 4, Sochaux, "Saturday, May 7, 2011", "Stade Jacques Chaban-Delmas (24,143)"
Brest, 0, 0, Nice, "Saturday, May 7, 2011", "Stade Francis-le Blé (14,000)"
Caen, 1, 1, Lens, "Saturday, May 7, 2011", "Stade Michel-d'Ornano (20,494)"
Lorient, 0, 0, Toulouse, "Saturday, May 7, 2011", "Stade du Moustoir (15,705)"
AS Nancy Lorraine, 0, 1, Lille, "Saturday, May 7, 2011", "Stade Marcel Picot (18,035)"
Marseille, 1, 1, AJ Auxerre, "Sunday, May 1, 2011", "Stade Vélodrome (55,128)"
Montpellier, 0, 0, Brest, "Sunday, May 1, 2011", "Stade de la Mosson (14,882)"
Nice, 0, 4, Caen, "Sunday, May 1, 2011", "Stade du Ray (7,895)"
Toulouse, 2, 0, Lyon, "Sunday, May 1, 2011", "Stadium Municipal (20,785)"
St Etienne, 1, 1, AS Monaco, "Sunday, May 1, 2011", "Stade Geoffroy-Guichard (23,000)"
Lens, 2, 3, Lorient, "Saturday, April 30, 2011", "Stade Felix-Bollaert (31,554)"
Lille, 5, 0, Arles, "Saturday, April 30, 2011", "Stadium Lille Métropole (16,973)"
Sochaux, 1, 0, AS Nancy Lorraine, "Saturday, April 30, 2011", "Stade Bonal (14,082)"
Stade Rennes, 0, 0, Bordeaux, "Saturday, April 30, 2011", "Stade de la Route-de-Lorient "
Paris Saint-Germain , 3, 1, Valenciennes, "Saturday, April 30, 2011", "Parc des Princes (33,000)"
Lyon, 3, 2, Montpellier, "Wednesday, April 27, 2011", "Stade de Gerland (30,000)"
Marseille, 4, 2, Nice, "Wednesday, April 27, 2011", "Stade Vélodrome (45,000)"
AJ Auxerre, 1, 1, Lens, "Sunday, April 24, 2011", "Stade Abbé-Deschamps (12,980)"
AS Monaco, 1, 0, Stade Rennes, "Sunday, April 24, 2011", "Stade Louis II (6,569)"
AS Nancy Lorraine, 0, 0, Arles, "Sunday, April 24, 2011", "Stade Marcel Picot (18,000)"
