home,homescore,awayscore,away,date,location
ADO Den Haag,4,1,NEC Nijmegen,"Sunday, May 16, 2004","Het Zuiderpark (9,783)"
AZ Alkmaar,2,4,PSV Eindhoven,"Sunday, May 16, 2004","Alkmaarder Hout (7,878)"
FC Groningen,2,2,Roda JC Kerkrade,"Sunday, May 16, 2004","Oosterpark  (12,000)"
FC Volendam,2,1,RBC Roosendaal,"Sunday, May 16, 2004","Veronica Stadion (5,057)"
Feyenoord Rotterdam,7,1,PEC Zwolle,"Sunday, May 16, 2004","De Kuip Stadion  (44,000)"
NAC Breda,5,3,RKC Waalwijk,"Sunday, May 16, 2004","Fujifilm  (10,715)"
Twente Enschede,2,0,Heerenveen,"Sunday, May 16, 2004","Arke Stadion (13,250)"
Vitesse Arnhem,3,0,FC Utrecht,"Sunday, May 16, 2004","Gelredome (22,000)"
Willem II Tilburg,2,5,Ajax Amsterdam,"Sunday, May 16, 2004","Willem II  (5,416)"
Ajax Amsterdam,2,0,NAC Breda,"Sunday, May 9, 2004","Amsterdam ArenA (49,717)"
FC Utrecht,2,0,FC Groningen,"Sunday, May 9, 2004","Nieuwe Galgenwaard (19,170)"
Heerenveen,1,0,AZ Alkmaar,"Sunday, May 9, 2004","Abe Lenstra Stadion (16,000)"
NEC Nijmegen,1,1,FC Volendam,"Sunday, May 9, 2004","De Goffert (12,000)"
PEC Zwolle,0,0,Willem II Tilburg,"Sunday, May 9, 2004","Oosterenk Stadion (6,500)"
PSV Eindhoven,3,2,ADO Den Haag,"Sunday, May 9, 2004","Philipsstadion "
RBC Roosendaal,1,4,Feyenoord Rotterdam,"Sunday, May 9, 2004","Vast & Goed Stadion (5,000)"
RKC Waalwijk,3,3,Twente Enschede,"Sunday, May 9, 2004","Sportp. Olympia/Mandemakers Stadion (5,500)"
Roda JC Kerkrade,2,0,Vitesse Arnhem,"Sunday, May 9, 2004","Parkstad Limburg Stadion (12,000)"
PEC Zwolle,0,5,Ajax Amsterdam,"Sunday, May 2, 2004","Oosterenk Stadion (6,800)"
FC Volendam,0,5,PSV Eindhoven,"Sunday, May 2, 2004","Veronica Stadion (4,807)"
Feyenoord Rotterdam,1,2,FC Groningen,"Sunday, May 2, 2004","De Kuip Stadion  (39,600)"
RKC Waalwijk,1,0,FC Utrecht,"Sunday, May 2, 2004","Sportp. Olympia/Mandemakers Stadion (5,000)"
Vitesse Arnhem,2,2,NEC Nijmegen,"Sunday, May 2, 2004","Gelredome (22,500)"
ADO Den Haag,1,0,Heerenveen,"Saturday, May 1, 2004","Het Zuiderpark (13,501)"
Willem II Tilburg,3,0,RBC Roosendaal,"Saturday, May 1, 2004","Willem II  (8,000)"
AZ Alkmaar,2,2,NAC Breda,"Saturday, May 1, 2004","Alkmaarder Hout (7,732)"
Twente Enschede,1,2,Roda JC Kerkrade,"Saturday, May 1, 2004","Arke Stadion (13,000)"
NEC Nijmegen,0,0,Ajax Amsterdam,"Sunday, April 25, 2004","De Goffert (12,500)"
FC Groningen,2,2,PEC Zwolle,"Sunday, April 25, 2004","Oosterpark  (12,500)"
Feyenoord Rotterdam,2,0,FC Volendam,"Sunday, April 25, 2004","De Kuip Stadion  (42,000)"
