home, homescore, awayscore, away, date, stadium
Espanyol, 1, 2, Malaga, "Saturday, May 11, 2002"," Montjuic Stadium (9,000)"
Mallorca, 2, 1, Real Valladolid, "Saturday, May 11, 2002"," Son Moix (23,000)"
Osasuna, 0, 1, Alav̩s, "Saturday, May 11, 2002"," El Sadar (18,000)"
Rayo Vallecano, 1, 0, Celta Vigo, "Saturday, May 11, 2002"," Nuevo Vallecas Stadium (15,000)"
Real Sociedad, 1, 1, Las Palmas, "Saturday, May 11, 2002"," Anoeta Stadium (25,000)"
Real Zaragoza, 1, 1, Barcelona, "Saturday, May 11, 2002"," La Romareda Stadium (25,000)"
Sevilla FC, 1, 0, Villarreal, "Saturday, May 11, 2002"," Estadio Ramon Sanchez Pizjuan (43,000)"
Tenerife, 2, 3, Athletic Bilbao, "Saturday, May 11, 2002"," Estadio Heliodoro Rodriguez Lopez  (20,000)"
Valencia, 2, 0, Real Betis, "Saturday, May 11, 2002"," Mestalla Stadium (53,000)"
Deportivo La Coru̱a, 3, 0, Real Madrid, "Friday, May 10, 2002"," Riazor Stadium (35,000)"
Alav̩s, 0, 1, Rayo Vallecano, "Sunday, May 5, 2002"," Mendizorroza Stadium (13,223)"
Athletic Bilbao, 1, 1, Osasuna, "Sunday, May 5, 2002"," San Mames Stadium (38,000)"
Barcelona, 2, 0, Espanyol, "Sunday, May 5, 2002"," Camp Nou (62,500)"
Celta Vigo, 1, 2, Sevilla FC, "Sunday, May 5, 2002"," Balaidos Stadium (28,000)"
Las Palmas, 0, 1, Tenerife, "Sunday, May 5, 2002"," Estadio Insular (20,500)"
Malaga, 0, 2, Valencia, "Sunday, May 5, 2002"," La Rosaleda "
Real Betis, 0, 3, Deportivo La Coru̱a, "Sunday, May 5, 2002"," Estadio Manuel Ruiz de Lopera (45,000)"
Real Madrid, 0, 0, Mallorca, "Sunday, May 5, 2002"," Santiago Bernabeu (75,000)"
Real Valladolid, 1, 3, Real Sociedad, "Sunday, May 5, 2002"," Nuevo Jose Zorilla Stadium (13,000)"
Villarreal, 2, 1, Real Zaragoza, "Sunday, May 5, 2002"," El Madrigal (23,000)"
Rayo Vallecano, 4, 2, Athletic Bilbao, "Sunday, April 28, 2002"," Nuevo Vallecas Stadium (10,850)"
Real Zaragoza, 0, 1, Celta Vigo, "Sunday, April 28, 2002"," La Romareda Stadium (34,500)"
Sevilla FC, 2, 0, Alav̩s, "Sunday, April 28, 2002","  (32,000)"
Mallorca, 1, 3, Real Betis, "Sunday, April 28, 2002"," Son Moix (23,000)"
Osasuna, 3, 2, Las Palmas, "Sunday, April 28, 2002"," El Sadar (18,500)"
Tenerife, 1, 5, Real Valladolid, "Sunday, April 28, 2002","  (22,000)"
Deportivo La Coru̱a, 2, 2, Malaga, "Sunday, April 28, 2002"," Riazor Stadium (27,000)"
Barcelona, 4, 1, Villarreal, "Saturday, April 27, 2002"," Camp Nou (55,000)"
Real Sociedad, 3, 0, Real Madrid, "Saturday, April 27, 2002"," Anoeta Stadium (31,000)"
Valencia, 2, 1, Espanyol, "Saturday, April 27, 2002"," Mestalla Stadium (53,500)"
Alav̩s, 2, 1, Real Zaragoza, "Sunday, April 21, 2002"," Mendizorroza Stadium (16,583)"
Athletic Bilbao, 0, 1, Sevilla FC, "Sunday, April 21, 2002"," San Mames Stadium (32,000)"
Espanyol, 3, 1, Villarreal, "Sunday, April 21, 2002"," Montjuic Stadium (18,500)"
Malaga, 0, 0, Mallorca, "Sunday, April 21, 2002"," La Rosaleda "
Real Betis, 3, 0, Real Sociedad, "Sunday, April 21, 2002"," Estadio Manuel Ruiz de Lopera (41,000)"
Real Valladolid, 1, 0, Osasuna, "Sunday, April 21, 2002"," Nuevo Jose Zorilla Stadium (12,500)"
Valencia, 1, 0, Deportivo La Coru̱a, "Sunday, April 21, 2002"," Mestalla Stadium (53,000)"
Celta Vigo, 2, 1, Barcelona, "Saturday, April 20, 2002"," Balaidos Stadium (30,000)"
Real Madrid, 4, 1, Tenerife, "Saturday, April 20, 2002"," Santiago Bernabeu (68,000)"
Las Palmas, 0, 2, Rayo Vallecano, "Saturday, April 20, 2002"," Estadio Insular (18,894)"
Deportivo La Coru̱a, 3, 1, Espanyol, "Sunday, April 14, 2002"," Riazor Stadium (30,000)"
Rayo Vallecano, 1, 0, Real Valladolid, "Sunday, April 14, 2002"," Nuevo Vallecas Stadium (14,000)"
Real Sociedad, 2, 1, Malaga, "Sunday, April 14, 2002"," Anoeta Stadium (24,000)"
Sevilla FC, 1, 1, Las Palmas, "Sunday, April 14, 2002","  (27,000)"
Villarreal, 2, 1, Celta Vigo, "Sunday, April 14, 2002"," El Madrigal (22,000)"
