home,homescore,awayscore,away,date,location
Aberdeen,2,0,Heart of Midlothian,"Sunday, May 22, 2005","Pittodrie Stadium (16,155)"
Hibernian,0,1,Rangers,"Sunday, May 22, 2005","Easter Road Stadium (17,450)"
Motherwell,2,1,Celtic,"Sunday, May 22, 2005","Fir Park Stadium (12,944)"
Inverness Caledonian Thistle,0,1,Dundee United,"Saturday, May 21, 2005","Caledonian Stadium (5,479)"
Kilmarnock,4,0,Dunfermline Athletic,"Saturday, May 21, 2005","Rugby Park (5,100)"
Livingston,1,1,Dundee,"Saturday, May 21, 2005","Almondvale Stadium (8,968)"
Heart of Midlothian,1,2,Celtic,"Sunday, May 15, 2005","Tynecastle Stadium (15,927)"
Dundee United,0,1,Dunfermline Athletic,"Sunday, May 15, 2005","Tannadice Park (10,763)"
Dundee,1,1,Inverness Caledonian Thistle,"Saturday, May 14, 2005","Dens Park stadium (6,691)"
Hibernian,1,2,Aberdeen,"Saturday, May 14, 2005","Easter Road Stadium (15,288)"
Kilmarnock,2,0,Livingston,"Saturday, May 14, 2005","Rugby Park (4,184)"
Rangers,4,1,Motherwell,"Saturday, May 14, 2005","Ibrox Stadium (49,495)"
Celtic,2,0,Aberdeen,"Sunday, May 8, 2005","Celtic Park (59,498)"
Dundee United,1,1,Kilmarnock,"Saturday, May 7, 2005","Tannadice Park (6,576)"
Dunfermline Athletic,5,0,Dundee,"Saturday, May 7, 2005","East End Park (8,313)"
Inverness Caledonian Thistle,0,1,Livingston,"Saturday, May 7, 2005","Caledonian Stadium (3,021)"
Motherwell,2,2,Hibernian,"Saturday, May 7, 2005","Fir Park Stadium (8,903)"
Rangers,2,1,Heart of Midlothian,"Saturday, May 7, 2005","Ibrox Stadium (49,342)"
Aberdeen,1,3,Rangers,"Sunday, May 1, 2005","Pittodrie Stadium (17,198)"
Celtic,1,3,Hibernian,"Saturday, April 30, 2005","Celtic Park (58,322)"
Dundee,1,2,Dundee United,"Saturday, April 30, 2005","Dens Park stadium (11,263)"
Heart of Midlothian,0,0,Motherwell,"Saturday, April 30, 2005","Tynecastle Stadium (10,337)"
Inverness Caledonian Thistle,1,2,Kilmarnock,"Saturday, April 30, 2005","Caledonian Stadium (3,108)"
Livingston,2,0,Dunfermline Athletic,"Saturday, April 30, 2005","Almondvale Stadium (5,700)"
Rangers,1,2,Celtic,"Sunday, April 24, 2005","Ibrox Stadium (49,593)"
Dundee United,1,1,Livingston,"Saturday, April 23, 2005","Tannadice Park (7,687)"
Dunfermline Athletic,0,0,Inverness Caledonian Thistle,"Saturday, April 23, 2005","East End Park (4,481)"
Hibernian,2,2,Heart of Midlothian,"Saturday, April 23, 2005","Easter Road Stadium (16,620)"
Kilmarnock,1,0,Dundee,"Saturday, April 23, 2005","Rugby Park (3,770)"
Motherwell,0,1,Aberdeen,"Saturday, April 23, 2005","Fir Park Stadium (5,063)"
Dunfermline Athletic,0,1,Rangers,"Sunday, April 17, 2005","East End Park (8,266)"
Celtic,3,2,Aberdeen,"Saturday, April 16, 2005","Celtic Park (59,998)"
Dundee United,2,1,Heart of Midlothian,"Saturday, April 16, 2005","Tannadice Park (7,704)"
Hibernian,0,3,Livingston,"Saturday, April 16, 2005","Easter Road Stadium (11,047)"
Inverness Caledonian Thistle,3,2,Dundee,"Saturday, April 16, 2005","Caledonian Stadium (4,786)"
Motherwell,1,1,Kilmarnock,"Saturday, April 16, 2005","Fir Park Stadium (4,999)"
Heart of Midlothian,1,2,Hibernian,"Wednesday, April 13, 2005","Tynecastle Stadium (17,676)"
Livingston,0,4,Celtic,"Wednesday, April 13, 2005","Almondvale Stadium (8,750)"
Inverness Caledonian Thistle,1,0,Motherwell,"Tuesday, April 12, 2005","Caledonian Stadium (3,746)"
Rangers,0,1,Dundee United,"Tuesday, April 12, 2005","Ibrox Stadium (49,302)"
Aberdeen,1,3,Motherwell,"Saturday, April 9, 2005","Pittodrie Stadium (10,443)"
Dundee,2,1,Dunfermline Athletic,"Saturday, April 9, 2005","Dens Park stadium (5,995)"
Kilmarnock,0,1,Inverness Caledonian Thistle,"Saturday, April 9, 2005","Rugby Park (4,862)"
Motherwell,2,3,Rangers,"Sunday, April 3, 2005","Fir Park Stadium (10,210)"
Celtic,0,2,Heart of Midlothian,"Saturday, April 2, 2005","Celtic Park (59,562)"
Dundee,1,0,Kilmarnock,"Saturday, April 2, 2005","Dens Park stadium (5,494)"
Hibernian,3,2,Dundee United,"Saturday, April 2, 2005","Easter Road Stadium (11,058)"
Inverness Caledonian Thistle,0,1,Aberdeen,"Saturday, April 2, 2005","Caledonian Stadium (7,026)"
Livingston,1,1,Dunfermline Athletic,"Saturday, April 2, 2005","Almondvale Stadium (4,573)"
Dundee United,2,3,Celtic,"Saturday, March 19, 2005","Tannadice Park (10,828)"
Aberdeen,1,1,Dundee,"Saturday, March 19, 2005","Pittodrie Stadium (10,474)"
Dunfermline Athletic,1,4,Hibernian,"Saturday, March 19, 2005","East End Park (7,204)"
Heart of Midlothian,3,1,Livingston,"Saturday, March 19, 2005","Tynecastle Stadium (9,187)"
Inverness Caledonian Thistle,0,2,Celtic,"Wednesday, March 16, 2005","Caledonian Stadium (7,045)"
Dundee,0,2,Rangers,"Sunday, March 13, 2005","Dens Park stadium (9,876)"
Aberdeen,3,0,Hibernian,"Saturday, March 12, 2005","Pittodrie Stadium (14,465)"
Celtic,6,0,Dunfermline Athletic,"Saturday, March 12, 2005","Celtic Park (58,908)"
Heart of Midlothian,0,2,Inverness Caledonian Thistle,"Saturday, March 12, 2005","Tynecastle Stadium (9,822)"
Kilmarnock,3,0,Dundee United,"Saturday, March 12, 2005","Rugby Park (4,353)"
Livingston,1,1,Motherwell,"Saturday, March 12, 2005","Almondvale Stadium (4,609)"
Hibernian,1,3,Celtic,"Sunday, March 6, 2005","Easter Road Stadium (15,787)"
Dundee,0,1,Livingston,"Saturday, March 5, 2005","Dens Park stadium (5,830)"
Dunfermline Athletic,1,1,Heart of Midlothian,"Saturday, March 5, 2005","East End Park (5,934)"
Kilmarnock,0,1,Aberdeen,"Saturday, March 5, 2005","Rugby Park (5,181)"
Motherwell,2,0,Dundee United,"Saturday, March 5, 2005","Fir Park Stadium (5,110)"
Rangers,1,1,Inverness Caledonian Thistle,"Saturday, March 5, 2005","Ibrox Stadium (49,345)"
Celtic,3,0,Dundee,"Wednesday, March 2, 2005","Celtic Park (52,500)"
Dundee United,1,2,Aberdeen,"Wednesday, March 2, 2005","Tannadice Park (6,688)"
Dunfermline Athletic,0,0,Motherwell,"Wednesday, March 2, 2005","East End Park (3,565)"
Heart of Midlothian,1,2,Rangers,"Wednesday, March 2, 2005","Tynecastle Stadium (13,842)"
Inverness Caledonian Thistle,3,0,Hibernian,"Wednesday, March 2, 2005","Pittodrie Stadium (4,443)"
Livingston,3,1,Kilmarnock,"Wednesday, March 2, 2005","Almondvale Stadium (2,536)"
Rangers,2,1,Kilmarnock,"Saturday, February 26, 2005","Ibrox Stadium (48,575)"
Celtic,0,2,Rangers,"Sunday, February 20, 2005","Celtic Park (59,041)"
Aberdeen,2,0,Livingston,"Saturday, February 19, 2005","Pittodrie Stadium (9,214)"
Dundee United,1,1,Inverness Caledonian Thistle,"Saturday, February 19, 2005","Tannadice Park (6,110)"
Hibernian,4,0,Dundee,"Saturday, February 19, 2005","Easter Road Stadium (10,938)"
Kilmarnock,2,1,Dunfermline Athletic,"Saturday, February 19, 2005","Rugby Park (4,701)"
Motherwell,2,0,Heart of Midlothian,"Saturday, February 19, 2005","Fir Park Stadium (7,390)"
Motherwell,1,1,Hibernian,"Tuesday, February 15, 2005","Fir Park Stadium (7,453)"
Dundee,2,1,Motherwell,"Saturday, February 12, 2005","Dens Park stadium (5,746)"
Dunfermline Athletic,2,1,Aberdeen,"Saturday, February 12, 2005","East End Park (5,579)"
Heart of Midlothian,3,0,Kilmarnock,"Saturday, February 12, 2005","Tynecastle Stadium (9,220)"
Livingston,0,2,Dundee United,"Saturday, February 12, 2005","Almondvale Stadium (5,158)"
Rangers,3,0,Hibernian,"Saturday, February 12, 2005","Ibrox Stadium (50,143)"
Kilmarnock,0,1,Celtic,"Sunday, January 30, 2005","Rugby Park (9,723)"
Dundee United,2,2,Dundee,"Saturday, January 29, 2005","Tannadice Park (12,703)"
Heart of Midlothian,1,0,Aberdeen,"Saturday, January 29, 2005","Tynecastle Stadium (12,269)"
Inverness Caledonian Thistle,2,0,Dunfermline Athletic,"Saturday, January 29, 2005","Caledonian Stadium (5,449)"
Rangers,3,0,Livingston,"Saturday, January 29, 2005","Ibrox Stadium (48,579)"
Livingston,1,2,Heart of Midlothian,"Tuesday, January 25, 2005","Almondvale Stadium (4,318)"
Aberdeen,1,2,Rangers,"Sunday, January 23, 2005","Pittodrie Stadium (17,495)"
Celtic,2,0,Motherwell,"Saturday, January 22, 2005","Celtic Park (58,438)"
Dundee,1,1,Heart of Midlothian,"Saturday, January 22, 2005","Dens Park stadium (5,780)"
Dunfermline Athletic,1,1,Dundee United,"Saturday, January 22, 2005","East End Park (6,589)"
Hibernian,3,0,Kilmarnock,"Saturday, January 22, 2005","Easter Road Stadium (12,660)"
Livingston,1,4,Inverness Caledonian Thistle,"Saturday, January 22, 2005","Almondvale Stadium (4,106)"
Aberdeen,0,1,Celtic,"Sunday, January 16, 2005","Pittodrie Stadium (17,051)"
